settlement_id,merchant_id,merchant_name,settlement_date,processor_gross_amount,processor_deduction_amount,actual_settlement_amount,settlement_status,processor_adjustment_code,processor_note
SET50217,M006,TravelNest,2026-04-28,25637.31,817.4,24820.84,Settled,MATCHED,Processor amount matches internal expectation.
SET50218,M006,TravelNest,2026-04-29,90876.02,3064.2,87813.27,Settled,MATCHED,Processor amount matches internal expectation.
SET50219,M006,TravelNest,2026-04-30,44466.55,1578.16,42888.74,Settled,MATCHED,Processor amount matches internal expectation.
SET50220,M006,TravelNest,2026-05-01,41944.05,1437.72,40506.44,Settled,MATCHED,Processor amount matches internal expectation.
SET50221,M006,TravelNest,2026-05-02,40066.25,1317.09,38749.16,Settled,MATCHED,Processor amount matches internal expectation.
SET50222,M006,TravelNest,2026-05-03,97488.51,9899.09,87590.92,Settled,MATCHED,Processor amount matches internal expectation.
SET50223,M006,TravelNest,2026-05-04,42351.49,4293.66,38057.83,Settled,CHARGEBACK_ADJ,Chargeback debit applied after dispute update from issuing bank.
SET50224,M006,TravelNest,2026-05-05,42015.4,1302.69,40712.71,Settled,MATCHED,Processor amount matches internal expectation.
SET50225,M006,TravelNest,2026-05-06,58605.43,1935.12,56670.47,Settled,MATCHED,Processor amount matches internal expectation.
SET50226,M006,TravelNest,2026-05-07,105719.98,15983.7,89736.28,Settled,MATCHED,Processor amount matches internal expectation.
SET50227,M006,TravelNest,2026-05-08,30530.69,1001.21,29530.01,Settled,MATCHED,Processor amount matches internal expectation.
SET50228,M006,TravelNest,2026-05-09,0.0,3891.4,-3891.4,Settled,MATCHED,Processor amount matches internal expectation.
SET50229,M006,TravelNest,2026-05-14,0.0,2767.36,-2767.36,Settled,MATCHED,Processor amount matches internal expectation.
SET50230,M007,HomeEase Services,2026-04-03,23330.72,573.77,22756.95,Settled,MATCHED,Processor amount matches internal expectation.
SET50231,M007,HomeEase Services,2026-04-04,32307.33,991.19,31316.6,Settled,MATCHED,Processor amount matches internal expectation.
SET50232,M007,HomeEase Services,2026-04-05,55712.9,1407.05,54305.85,Settled,MATCHED,Processor amount matches internal expectation.
SET50233,M007,HomeEase Services,2026-04-06,38927.33,1133.23,37794.1,Settled,MATCHED,Processor amount matches internal expectation.
SET50234,M007,HomeEase Services,2026-04-07,67761.15,1654.76,66106.39,Settled,MATCHED,Processor amount matches internal expectation.
SET50235,M007,HomeEase Services,2026-04-08,31829.28,825.4,31005.45,Settled,MATCHED,Processor amount matches internal expectation.
SET50236,M007,HomeEase Services,2026-04-09,46070.54,1216.22,44854.32,Settled,MATCHED,Processor amount matches internal expectation.
SET50237,M007,HomeEase Services,2026-04-10,44120.56,2257.87,41863.23,Settled,MATCHED,Processor amount matches internal expectation.
SET50238,M007,HomeEase Services,2026-04-11,20710.37,498.65,20211.72,Settled,MATCHED,Processor amount matches internal expectation.
SET50239,M007,HomeEase Services,2026-04-12,21988.04,4176.68,17811.36,Settled,MATCHED,Processor amount matches internal expectation.
SET50240,M007,HomeEase Services,2026-04-13,14260.86,456.34,13804.52,Settled,MATCHED,Processor amount matches internal expectation.
SET50241,M007,HomeEase Services,2026-04-14,23300.38,655.07,22645.75,Settled,MATCHED,Processor amount matches internal expectation.
SET50242,M007,HomeEase Services,2026-04-15,36467.09,2282.14,34186.35,Settled,MATCHED,Processor amount matches internal expectation.
SET50243,M007,HomeEase Services,2026-04-16,21377.87,479.29,20899.53,Settled,MATCHED,Processor amount matches internal expectation.
SET50244,M007,HomeEase Services,2026-04-17,48131.83,3259.22,44872.61,Settled,MATCHED,Processor amount matches internal expectation.
SET50245,M007,HomeEase Services,2026-04-18,62601.96,6654.54,55947.42,Settled,MATCHED,Processor amount matches internal expectation.
SET50246,M007,HomeEase Services,2026-04-19,31323.19,902.73,30420.46,Settled,MATCHED,Processor amount matches internal expectation.
SET50247,M007,HomeEase Services,2026-04-20,29889.04,719.59,29169.45,Settled,MATCHED,Processor amount matches internal expectation.
SET50248,M007,HomeEase Services,2026-04-21,39634.78,943.14,38692.89,Settled,MATCHED,Processor amount matches internal expectation.
SET50249,M007,HomeEase Services,2026-04-22,20520.3,3091.66,17429.12,Settled,MATCHED,Processor amount matches internal expectation.
SET50250,M007,HomeEase Services,2026-04-23,50503.03,10643.37,39861.49,Settled,MATCHED,Processor amount matches internal expectation.
SET50251,M007,HomeEase Services,2026-04-24,24403.37,7210.54,17192.83,Settled,MATCHED,Processor amount matches internal expectation.
SET50252,M007,HomeEase Services,2026-04-25,19442.63,471.27,18971.36,Settled,MATCHED,Processor amount matches internal expectation.
SET50253,M007,HomeEase Services,2026-04-26,40946.39,1041.14,39905.25,Settled,MATCHED,Processor amount matches internal expectation.
SET50254,M007,HomeEase Services,2026-04-27,26066.39,4272.08,21795.6,Settled,MATCHED,Processor amount matches internal expectation.
SET50255,M007,HomeEase Services,2026-04-28,8270.47,242.57,8027.9,Settled,MATCHED,Processor amount matches internal expectation.
SET50256,M007,HomeEase Services,2026-04-29,39549.97,1132.62,38418.4,Settled,MATCHED,Processor amount matches internal expectation.
SET50257,M007,HomeEase Services,2026-04-30,19305.94,516.31,18789.63,Settled,MATCHED,Processor amount matches internal expectation.
SET50258,M007,HomeEase Services,2026-05-01,38464.66,4888.79,33575.9,Settled,MATCHED,Processor amount matches internal expectation.
SET50259,M007,HomeEase Services,2026-05-02,22041.54,10541.54,11500.0,Settled,MATCHED,Processor amount matches internal expectation.
SET50260,M007,HomeEase Services,2026-05-03,19294.68,432.59,18862.6,Settled,MATCHED,Processor amount matches internal expectation.
SET50261,M007,HomeEase Services,2026-05-04,47666.95,8089.59,39578.31,Settled,MATCHED,Processor amount matches internal expectation.
SET50262,M007,HomeEase Services,2026-05-05,25944.82,651.42,25293.4,Settled,MATCHED,Processor amount matches internal expectation.
SET50263,M007,HomeEase Services,2026-05-06,48484.26,2541.08,45943.65,Settled,MATCHED,Processor amount matches internal expectation.
SET50264,M007,HomeEase Services,2026-05-07,45040.69,1278.39,43762.3,Settled,MATCHED,Processor amount matches internal expectation.
SET50265,M007,HomeEase Services,2026-05-14,0.0,6263.06,-6263.06,Settled,MATCHED,Processor amount matches internal expectation.
SET50266,M007,HomeEase Services,2026-05-15,0.0,4743.13,-4742.92,Settled,MATCHED,Processor amount matches internal expectation.
SET50267,M007,HomeEase Services,2026-05-16,0.0,895.27,-894.55,Settled,MATCHED,Processor amount matches internal expectation.
SET50268,M008,FinEdge SaaS,2026-04-03,55556.88,1302.77,54254.85,Settled,MATCHED,Processor amount matches internal expectation.
SET50269,M008,FinEdge SaaS,2026-04-04,24912.88,595.99,24316.89,Settled,MATCHED,Processor amount matches internal expectation.
SET50270,M008,FinEdge SaaS,2026-04-05,24920.62,1975.64,22946.19,Settled,MATCHED,Processor amount matches internal expectation.
SET50271,M008,FinEdge SaaS,2026-04-06,19332.05,512.79,18819.26,Settled,MATCHED,Processor amount matches internal expectation.
SET50272,M008,FinEdge SaaS,2026-04-07,21382.76,1525.42,19857.34,Settled,REFUND_ADJ,Processor deducted a late refund adjustment not present in the internal refund file cutoff.
SET50273,M008,FinEdge SaaS,2026-04-08,21248.43,2261.79,18986.97,Settled,MATCHED,Processor amount matches internal expectation.
SET50274,M008,FinEdge SaaS,2026-04-09,39107.12,1025.46,38081.66,Settled,MATCHED,Processor amount matches internal expectation.
SET50275,M008,FinEdge SaaS,2026-04-10,32513.08,7817.59,24695.49,Settled,MATCHED,Processor amount matches internal expectation.
SET50276,M008,FinEdge SaaS,2026-04-11,17722.37,410.62,17311.81,Settled,MATCHED,Processor amount matches internal expectation.
SET50277,M008,FinEdge SaaS,2026-04-12,25737.94,629.93,25108.01,Settled,MATCHED,Processor amount matches internal expectation.
SET50278,M008,FinEdge SaaS,2026-04-13,54651.46,1290.09,53361.37,Settled,MATCHED,Processor amount matches internal expectation.
SET50279,M008,FinEdge SaaS,2026-04-14,54834.75,6608.21,48226.54,Settled,MATCHED,Processor amount matches internal expectation.
SET50280,M008,FinEdge SaaS,2026-04-15,16773.59,3057.25,13716.34,Settled,MATCHED,Processor amount matches internal expectation.
SET50281,M008,FinEdge SaaS,2026-04-16,18717.61,439.6,18278.01,Settled,MATCHED,Processor amount matches internal expectation.
SET50282,M008,FinEdge SaaS,2026-04-17,16445.38,1309.59,15135.79,Settled,CHARGEBACK_ADJ,Chargeback debit applied after dispute update from issuing bank.
SET50283,M008,FinEdge SaaS,2026-04-18,28503.3,7522.13,20982.39,Settled,MATCHED,Processor amount matches internal expectation.
SET50284,M008,FinEdge SaaS,2026-04-19,46694.84,1030.53,45664.98,Settled,MATCHED,Processor amount matches internal expectation.
SET50285,M008,FinEdge SaaS,2026-04-20,33426.19,834.12,32593.02,Settled,MATCHED,Processor amount matches internal expectation.
SET50286,M008,FinEdge SaaS,2026-04-21,29039.87,622.73,28417.14,Settled,MATCHED,Processor amount matches internal expectation.
SET50287,M008,FinEdge SaaS,2026-04-22,36728.05,868.84,35860.91,Settled,MATCHED,Processor amount matches internal expectation.
SET50288,M008,FinEdge SaaS,2026-04-23,32632.01,8453.29,24178.72,Settled,FEE_REVISION,Additional gateway fee and pricing revision applied by the processor.
SET50289,M008,FinEdge SaaS,2026-04-24,37932.44,1056.83,36875.61,Settled,MATCHED,Processor amount matches internal expectation.
SET50290,M008,FinEdge SaaS,2026-04-25,17400.64,458.72,16941.92,Settled,MATCHED,Processor amount matches internal expectation.
SET50291,M008,FinEdge SaaS,2026-04-26,33695.96,1184.92,32511.04,Settled,FEE_REVISION,Additional gateway fee and pricing revision applied by the processor.
SET50292,M008,FinEdge SaaS,2026-04-27,40993.95,1072.25,39921.7,Settled,MATCHED,Processor amount matches internal expectation.
SET50293,M008,FinEdge SaaS,2026-04-28,19966.77,459.88,19506.89,Settled,MATCHED,Processor amount matches internal expectation.
SET50294,M008,FinEdge SaaS,2026-04-29,24870.4,4947.62,19923.44,Settled,MATCHED,Processor amount matches internal expectation.
SET50295,M008,FinEdge SaaS,2026-04-30,35043.08,1008.61,34034.75,Settled,MATCHED,Processor amount matches internal expectation.
SET50296,M008,FinEdge SaaS,2026-05-01,31710.81,761.7,30950.76,Settled,MATCHED,Processor amount matches internal expectation.
SET50297,M008,FinEdge SaaS,2026-05-02,41009.6,2459.18,38550.42,Settled,MATCHED,Processor amount matches internal expectation.
SET50298,M008,FinEdge SaaS,2026-05-03,44013.37,1155.5,42858.39,Settled,MATCHED,Processor amount matches internal expectation.
SET50299,M008,FinEdge SaaS,2026-05-04,11905.36,338.45,11568.46,Settled,MATCHED,Processor amount matches internal expectation.
SET50300,M008,FinEdge SaaS,2026-05-05,64205.0,1741.79,62463.21,Settled,MATCHED,Processor amount matches internal expectation.
SET50301,M008,FinEdge SaaS,2026-05-06,8594.95,193.1,8401.85,Settled,MATCHED,Processor amount matches internal expectation.
SET50302,M008,FinEdge SaaS,2026-05-07,25657.73,580.21,25077.52,Settled,MATCHED,Processor amount matches internal expectation.
SET50303,M008,FinEdge SaaS,2026-05-08,0.0,6122.07,-6121.84,Settled,MATCHED,Processor amount matches internal expectation.
SET50304,M008,FinEdge SaaS,2026-05-09,0.0,5431.66,-5431.66,Settled,MATCHED,Processor amount matches internal expectation.
SET50305,M008,FinEdge SaaS,2026-05-10,0.0,3619.9,-3618.75,Settled,MATCHED,Processor amount matches internal expectation.
SET50306,M008,FinEdge SaaS,2026-05-18,0.0,5986.8,-5985.16,Settled,MATCHED,Processor amount matches internal expectation.
SET50307,M008,FinEdge SaaS,2026-05-19,0.0,1346.24,-1346.24,Settled,MATCHED,Processor amount matches internal expectation.
